student_id,class_id,school_id,test_score,family_income,race,cohort
0,50001.0,63004,71.46243610813136,71421.0,ASIAN,REGULAR
1,50001.0,63004,67.6413216129642,95712.0,ASIAN,REGULAR
2,50001.0,63004,66.56213829663244,37966.0,HISPANIC,EXPERIMENTAL
3,50001.0,63004,81.83247487244574,58151.0,WHITE,EXPERIMENTAL
4,50001.0,63004,70.87160732681643,43578.0,BLACK,EXPERIMENTAL
5,50001.0,63004,75.89123069532461,83325.0,ASIAN,EXPERIMENTAL
6,50001.0,63004,77.95093286161308,55394.0,HISPANIC,EXPERIMENTAL
7,50001.0,63004,80.02333210585903,46024.0,WHITE,EXPERIMENTAL
8,50001.0,63004,68.22219878957114,50125.0,HISPANIC,REGULAR
9,50001.0,63004,75.5117176164017,47284.0,WHITE,REGULAR
10,50001.0,63004,63.75885204844696,48265.0,WHITE,EXPERIMENTAL
11,50001.0,63004,84.14883892070937,70866.0,ASIAN,REGULAR
12,50001.0,63004,62.82247961011933,55922.0,WHITE,EXPERIMENTAL
13,50001.0,63004,60.933903595466276,70697.0,WHITE,REGULAR
14,50001.0,63004,73.3883178420468,70715.0,ASIAN,REGULAR
15,50001.0,63004,76.2840042738843,50610.0,WHITE,EXPERIMENTAL
16,50002.0,63020,56.13097265780991,75145.0,WHITE,EXPERIMENTAL
17,50002.0,63020,82.70036426281558,51004.0,WHITE,REGULAR
18,50002.0,63020,76.52259573697984,41669.0,HISPANIC,REGULAR
19,50002.0,63020,64.28868484784837,26121.0,BLACK,EXPERIMENTAL
20,50002.0,63020,81.19915509765242,67642.0,ASIAN,REGULAR
21,50002.0,63020,64.71179941360971,50818.0,HISPANIC,EXPERIMENTAL
22,50002.0,63020,68.66876830006412,62246.0,WHITE,EXPERIMENTAL
23,50002.0,63020,66.29850387153219,51579.0,HISPANIC,EXPERIMENTAL
24,50002.0,63020,56.58990647094656,65146.0,ASIAN,EXPERIMENTAL
25,50002.0,63020,76.06739130364093,75603.0,ASIAN,REGULAR
26,50002.0,63020,52.28379888735946,30375.0,BLACK,EXPERIMENTAL
27,50002.0,63020,63.32685254329011,64032.0,WHITE,REGULAR
28,50002.0,63020,80.83854369054195,57642.0,WHITE,REGULAR
29,50002.0,63020,62.36921805165942,46861.0,WHITE,EXPERIMENTAL
30,50002.0,63020,82.07360964909667,61209.0,WHITE,REGULAR
31,50002.0,63020,62.92118739648664,55917.0,WHITE,EXPERIMENTAL
32,50003.0,63016,65.09408188931909,46040.0,BLACK,EXPERIMENTAL
33,50003.0,63016,85.3713940882916,38853.0,BLACK,REGULAR
34,50003.0,63016,64.19773071756259,75887.0,ASIAN,REGULAR
35,50003.0,63016,73.2938512573397,37143.0,HISPANIC,EXPERIMENTAL
